No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,1,1,,,,,, コンフェルマ,コンフェルマ,,セ,5,セ,5,小牧加矢, 60 ,3.0,,(栗),寺島良,栗東,,2,,,,,,,,,,,,,,,,,,,,4,15.1,5.3,6,2.4,4.0,7.1,134.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1663,0,6,6,2,1,0,3,2,1,0,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,近藤英子,,レイクヴィラファーム,,洞爺湖町,エピファネイア,ロイヤルチャージャー系,ブルーダイアモンド,ディープインパクト,ロイヤルチャージャー系,スペシャルウィーク,ロイヤルチャージャー系,トニービン,ナスルーラ系,鹿毛,2021,0419,"1996年12月24日(29歳)","1981年 6月27日(44歳)",アリストテレス,4,クレオメデス,2,カタリーナ,1,ソクラテス,1,,,確認（伊）,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,10,6,12着, 0.9,12,12,0,松山弘平,替, 56 ,+4.0,506,-4,"250419 2阪7 10R",阪神,別場,,,,,,,,,,,,芝,1400,+1490,芝,障,,,,良,2勝,14,0,,,11,10,中,中団,7,,,,,,,,,,,0426170101,202605230401070101,2021105970,2,56,7, ,19,4,A00,3,00,0,2,01196,01158,372006,202504190902071010,0925271010
2,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,2,2,,,,,, ランフォースマイル,ランフォースマイル,,牝,4,牝,4,五十嵐雄, 57 ,2.0,,(美),秋本大介,美浦,,1,,,,,,,,,,,,,,,,,,,,6,18.5,4.3,4,2.1,3.4,8.6,200.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1379,0,15,15,1,1,0,13,1,1,0,12,1,1,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,飯田正剛,,千代田牧場,,新ひだか町,サトノダイヤモンド,ロイヤルチャージャー系,サンキュースマイル,ブライアンズタイム,ロイヤルチャージャー系,Orpen,ニアークティック系,ホワイトマズル,ニアークティック系,鹿毛,2022,0512,"1984年 2月16日(42歳)","1981年 9月 1日(44歳)",ヒシカムイ,2,ヒシタイザン,1,アルルカン,1,カフジブレイブ,1,,,笑顔のために駆ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,13,8,５着, 3.4,5,5,0,中村将之,替, 57 ,0.0,464,+12,"260503 1新2  4R",新潟,同場,,,,,,,,,,,,芝,2890,0,障,障,,,,良,未勝利,14,0, 7, 7, 9, 9,中,中団,,,,,,,,,,,,0426170102,202605230401070102,2022104130,2,56,7, ,19,4,A00,2,00,0,1,01069,01213,994002,202605030401020413,0426120413
3,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,3,3,,,,,, コトブキヘスペラス,コトブキヘスペラス,,牡,6,牡,6,金子光希, 60 ,3.0,,(美),金成貴史,美浦,,1,,,,,,,,,,,,,,,,,,,,14,136.4,0.6,10,8.8,15.8,1.6,271.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1010,0,23,23,1,1,0,21,1,1,0,20,0,0,0,6,1,1,0,14,0,0,0,1,0,0,0,0,0,0,,,,尾上松壽,,下屋敷牧場,,新ひだか町,ハーツクライ,ロイヤルチャージャー系,エーシンベロシティ,"Lemon Drop Kid",ネイティヴダンサー系,トニービン,ナスルーラ系,"Mi Cielo",ネイティヴダンサー系,黒鹿,2020,0216,"1982年 3月10日(44歳)","1969年10月 5日(56歳)",メイショウテッコン,5,アオイプリンス,1,,,,,,,冠名＋宵の明星,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,10,12,12着, 7.4,12,12,0,草野太郎,替, 60 ,0.0,462,-6,"260329 2阪2  4R",阪神,別場,,,,,,,,,,,,ダ,2970,-80,障,障,,,,良,未勝利,14,0,13,13,13,13,後,後方,,,,,,,,,,,,0426170103,202605230401070103,2020100209,2,56,7, ,19,4,A00,1,00,0,1,01052,01132,566006,202603290902020410,0926220410
4,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,3,4,,,,,, バンデルオーラ,バンデルオーラ,,牡,7,牡,7,伴啓太, 60 ,3.0,,(美),岩戸孝樹,美浦,,1,,,,,,,,,,,,,,,,,,,,3,11.8,6.8,5,2.3,3.9,7.3,108.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,6685,0,26,26,4,2,1,19,4,2,1,19,4,2,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,社台レースホース,,社台ファーム,,千歳市,トーセンラー,ロイヤルチャージャー系,マチカネハヤテ,サクラバクシンオー,ナスルーラ系,Lycius,ネイティヴダンサー系,ベリフア,ニアークティック系,鹿毛,2019,0426,"1993年 6月 4日(32歳)","1966年 7月23日(59歳)",レッドアネモス,4,レジェモー,3,ウォーターピオニー,3,エイカイマドンナ,2,レッドアライヴ,2,風見鶏（伊）。欧州では魔除けとされる,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,3,14,13着, 1.4,13,13,0,国分恭介,替, 57 ,+3.0,484,+4,"260118 1中7 10R",中山,別場,,,,,,,,,,,,ダ,1200,+1690,ダ,障,,,,良,ｵｰﾌﾟﾝ,16,-2,,,12,12,後,後方,10,,,,,,,,,,,0426170104,202605230401070104,2019104915,2,56,7, ,19,4,A00,1,00,0,1,01149,01051,415800,202601180601071003,0626171003
5,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,4,5,,,,,,$メイショウトム,メイショウトム,,牡,5,牡,5,難波剛健, 60 ,3.0,,(栗),谷潔,栗東,,1,,,,,,,,,,,,,,,,,,,,5,15.9,5.0,3,1.7,2.7,11.5,229.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1654,0,17,17,2,0,1,14,2,0,1,12,0,0,0,1,2,0,1,11,0,0,0,2,0,0,0,0,0,0,,,(外),松本好隆,,"Kathryn Nikkel",,米,"Palace Malice",ネイティヴダンサー系,"Nothing But Tom","Street Cry",ネイティヴダンサー系,"Royal Anthem",ニアークティック系,Vindication,ナスルーラ系,栗毛,2021,0311,"1982年11月 1日(43歳)","1957年 1月11日(69歳)",,,,,,,,,,,冠名＋母名の一部,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,10,4,５着, 1.7,5,5,0,難波剛健,, 60 ,0.0,494,-2,"260502 1新1  1R",新潟,同場,,,,,,,,,,,,芝,2890,0,障,障,,,,重,未勝利,14,0, 8, 8, 7, 7,中,中団,,,,,,,,,,,,0426170105,202605230401070105,2021110065,2,56,7, ,19,4,A00,1,06,0,2,01066,00431,911008,202605020401010110,0426110110
6,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,4,6,,,,,, ヨシノヤッタルデー,ヨシノヤッタルデー,,牡,5,牡,5,黒岩悠, 60 ,3.0,,(栗),中竹和也,栗東,,1,,,,,,,,,,,,,,,,,,,,10,92.7,0.9,11,10.4,18.7,1.3,155.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,2230,0,23,23,2,1,1,19,2,1,1,19,0,0,0,2,2,1,1,17,0,0,0,0,0,0,0,0,0,0,,,,清水義徳,,川向高橋育成牧場,,平取町,ファインニードル,ネイティヴダンサー系,ナムラバイオレット,チーフベアハート,ニアークティック系,"Mark of Esteem",ナスルーラ系,キンググローリアス,ネイティヴダンサー系,鹿毛,2021,0226,"1983年10月26日(42歳)","1964年11月26日(61歳)",ルーラルハピネス,2,,,,,,,,,冠名＋元気を出すかけ声。いつも勝ちたい,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,14,11着, 0.9,11,11,0,柴田裕一,替,56△,+4.0,468,-4,"260411 2阪5 12R",阪神,別場,,,,,,,,,,,,ダ,1200,+1690,ダ,障,,,,重,2勝,16,-2,,,12,13,後,後方,6,,,,,,,,,,,0426170106,202605230401070106,2021102336,2,56,7, ,19,4,A00,1,00,0,2,01072,01039,728033,202604110902051205,0926251205
7,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,5,7,,,,,, ヴァルトバーデン,ヴァルトバーデン,,牡,4,牡,4,鷲頭虎太,57▲,0.0,,(美),粕谷昌央,美浦,,1,,,,,,,,,,,,,,,,,,,,13,130.9,0.6,13,11.8,21.3,1.2,191.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,84,0,8,8,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,,,,ヒダカ・ブリーダーズ・ユニオン,,スウィングフィールド牧場,,日高町,ディープブリランテ,ロイヤルチャージャー系,ネイチャーガイド,エルコンドルパサー,ネイティヴダンサー系,"Loup Sauvage",ナスルーラ系,Riverman,ナスルーラ系,鹿毛,2022,0220,"2003年12月 6日(22歳)","1965年 9月 4日(60歳)",シュンドルボン,6,アムールマルルー,1,ネイチャークルーズ,2,インキュベーター,2,アレルヤトウブ,2,森林浴（独）。母名より連想,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,5,13,11着, 6.0,11,11,0,土田真翔,替,57▲,0.0,482,-12,"260315 1阪8  4R",阪神,別場,,,,,,,,,,,,ダ,2970,-80,障,障,,,,良,未勝利,14,0, 9, 9,10, 9,中,中団,,,,,,,,,,,,0426170107,202605230401070107,2022101548,2,56,7, ,19,4,A00,1,00,3,1,01202,01096,547800,202603150901080405,0926180405
8,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,5,8,,,,,, キャネル,キャネル,,牡,5,牡,5,坂口智康,57▲,0.0,,(美),手塚貴久,美浦,,1,,,,,,,,,,,,,,,,,,,,1,1.3,61.5,1,1.1,1.2,37.0,60.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,3791,0,21,21,2,5,3,11,2,4,3,11,0,1,3,3,2,3,0,8,0,1,0,0,0,0,0,0,0,0,,,,落合幸弘,,ノーザンファーム,,安平町,ブリックスアンドモルタル,ニアークティック系,レッドラヴィータ,スペシャルウィーク,ロイヤルチャージャー系,"Ocean Crest",ニアークティック系,トニービン,ナスルーラ系,栗毛,2021,0222,"1990年12月16日(35歳)","1964年 9月20日(61歳)",マテンロウスカイ,5,ルージュナリッシュ,1,ベストシンガー,1,デュメイカズマ,1,,,シナモン（仏）,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,11,6,２着, 2.3,2,2,0,坂口智康,,57▲,0.0,498,-6,"260503 1新2  4R",新潟,同場,,,,,,,,,,,,芝,2890,0,障,障,,,,良,未勝利,14,0, 9, 9, 5, 5,中,差し,,,,,,,,,,,,0426170108,202605230401070108,2021105885,2,56,7, ,19,4,A00,1,00,3,1,01211,01038,252030,202605030401020411,0426120411
9,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,6,9,,,,,, ゴールデンステップ,ゴールデンステップ,,牝,5,牝,5,上野翔, 58 ,3.0,,(美),和田勇介,美浦,,1,,,,,,,,,,,,,,,,,,,,2,9.7,8.2,2,1.6,2.6,12.1,147.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1773,0,18,18,1,2,0,15,1,1,0,12,1,1,0,11,0,0,0,1,0,1,0,3,0,0,0,0,0,0,,,,岡田牧雄,,岡田スタツド,,新ひだか町,ブリックスアンドモルタル,ニアークティック系,ルミナスレッド,トーセンダンス,ロイヤルチャージャー系,"Ocean Crest",ニアークティック系,ヘクタープロテクター,ネイティヴダンサー系,黒鹿,2021,0404,"1985年12月23日(40歳)","1980年 3月 4日(46歳)",ルーチェロッサ,2,ルミナスナイト,1,,,,,,,黄金の脚色。素晴らしい脚色でターフを駆け抜けてほしいとの願いから,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,13,3,９着, 3.5,9,9,0,金子光希,替, 58 ,0.0,498,+2,"260404 3中3  4R",中山,別場,,,,,,,,,,,,ダ,2880,+10,障,障,,,,良,未勝利,14,0, 5, 5, 4, 7,中,中団,,,,,,,,,,,,0426170109,202605230401070109,2021103555,2,56,7, ,19,4,A00,2,00,0,1,01087,01165,851009,202604040603030413,0626330413
10,0523,2026.5.23,新1,新潟,7,1,障害未勝利,09:45,未勝利,４歳以上,芝,2890,2890,,,,,,14,14,14,,,,6,10,,,,,, セイウンビッグバン,セイウンビッグバン,,牡,4,牡,4,水沼元輝,57▲,0.0,,(美),萱野浩二,美浦,,1,,,,,,,,,,,,,,,,,,,,9,82.8,1.0,9,8.7,15.6,1.6,167.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,1730,0,14,14,1,1,1,11,1,1,1,11,1,1,1,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,成田隆好,,タツヤファーム,,新ひだか町,アドマイヤマーズ,ロイヤルチャージャー系,セイウンメテオ,Acclamation,ニアークティック系,Medicean,ネイティヴダンサー系,Slickly,ニアークティック系,鹿毛,2022,0317,"2002年 9月 2日(23歳)","1960年 2月28日(66歳)",セイウンティーダ,2,,,,,,,,,冠名＋宇宙開始時の爆発的膨張,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,10,10,13着, 2.1,13,13,0,原田和真,替, 58 ,-1.0,450,-4,"260405 3中4  8R",中山,別場,,,,,,,,,,,,ダ,1200,+1690,ダ,障,,,,重,1勝,16,-2,,, 8, 9,中,中団,13,,,,,,,,,,,0426170110,202605230401070110,2022100737,2,56,7, ,19,4,A00,1,00,3,1,01201,01024,702006,202604050603040810,0626340810
